1/7/2019 11:48:17 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 11:58:22 AM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:08:27 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:18:32 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:28:37 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:38:42 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:48:47 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 12:58:52 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:08:57 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:19:02 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:29:07 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:39:12 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:49:17 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 1:59:22 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 2:09:27 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 2:19:32 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 2:29:37 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 2:39:42 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 2:49:47 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 2:59:52 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 3:09:57 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 3:20:02 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 3:30:07 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 3:40:12 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 3:50:17 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 4:00:22 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 4:10:28 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 4:20:33 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 4:30:38 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 4:40:43 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 4:50:48 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 5:00:53 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 5:10:58 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 5:21:03 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
1/7/2019 5:31:08 PM> #0: 0.00; #1: NaN; #2: NaN; #3: 0.00; #4: 0.00; #5: 0.00; #6: 0.00; #7: 0.00; #8: 0.00; #9: 0.00; H0: 0.00; H1: 0.00; P: 0.00 Pa; P1: 0.00 mbar; P2: 0.00 mbar; 
